SampleID,Depth_m,Rock_Density,Fault_Proximity_km,Alteration_Index,Sulfide_Content_%,Quartz_Content_%,Iron_Content_%,Gold_ppm
1,321.32900465517935,3.064815429113343,1.8368503555435682,0.06675553056618239,3.2436375115280325,40.62748072348276,5.571897786893633,2.2546299321686987
2,230.4335487109908,2.993607166062358,2.367509959802432,0.10571078303232644,2.8667889177887473,61.67941046963236,3.932610266210368,2.6276103522597776
3,342.9405813602019,2.863856669113469,1.7196087095179884,0.5357995621053333,1.6644546830920612,33.16617531810647,6.104307944470438,2.4898252296995294
4,468.24333409183197,2.7578715969696064,2.2040671008789094,0.15957134377575063,0.41382286798851137,50.79023681465123,4.516947273012741,2.1319215008188315
5,216.70728602730497,2.959645610667481,0.6184139635641641,0.12287989871766325,1.3924403364027533,26.39754313978354,2.9222564678286016,6.716290617231118
6,216.70963618746805,2.913934921438705,2.7253223378908884,0.30995644773932673,0.09577334981439387,55.06418888832778,8.315920722210835,2.7445526398869915
7,476.28577340610116,2.9891910966296025,2.513234105880174,0.5006741240171694,1.927955393573658,60.136278222638055,5.718668711730144,2.7037400570039547
8,360.0819261752564,2.950187883877738,1.6949399994497591,0.19253338124350866,0.9564275328428344,25.677348626167507,4.839243874043418,2.2038050545862506
9,183.02171690847857,3.012345020923343,3.1712742989503546,0.6798139772747849,0.1739429747162832,29.903716194709908,6.259966235662414,7.171820269394411
10,327.8917204442107,2.774626831891357,3.449598768144508,0.16580692395614124,2.1969009224010128,30.560299690283472,-0.013561998689898047,5.345067944640945
11,183.8887162204341,3.0525212234705914,0.9044687661489756,0.44532573170634104,4.34016939002898,47.335625620350186,11.27055447429818,4.243741703070478
12,183.55775094851634,2.8845520543293026,1.7493038519517357,0.28710346659034747,0.35126401539416274,29.03773080754335,5.074063291656975,1.2207739273673868
13,284.86195878286543,3.1662012445192325,1.7428862807306515,0.20515210248463084,2.3293494575655895,70.67735333229095,-0.8895187296439744,1.6614191250309727
14,0.0,2.751533940912007,1.5721255294090852,0.3569482999794101,1.2086490641999839,56.54229472262054,8.591283578776869,2.368311887087207
15,3.3083679952643195,3.1153066841002297,3.3415034724496984,0.08720531597496316,0.8634354386916127,58.98559369601507,2.7458344919513764,1.6827752933417646
16,169.7357653571359,2.88459873114484,2.3182024917451463,0.23791157291652001,0.8651472836502894,26.164281715799955,8.131140059828393,4.1204550770731805
17,105.24166344638596,2.757199413083275,2.247513789207339,0.2125906368597829,1.2084101523451642,69.39767128292334,5.364702463137947,1.4014762473343805
18,295.2093706311401,2.782329238517294,0.5081662661111963,0.3380474712276761,1.2047631971511432,59.74414160147843,0.28875552548304384,2.163541148205158
